urijs,<1.19.6
url-parse,<1.5.0
@stoplight/markdown,<2.11.0
png-img,<3.1.0
tree-kit,<0.7.0
@progfay/scrapbox-parser,<6.0.3
docsify,<4.12.1
prismjs,<1.23.0
label-studio,<0.9.1
admin-lte,<3.1.0
i18next,<19.8.5
adm-zip,<0.5.2
handlebars,<4.7.7
lodash,<4.17.21
lodash.template,*
lodash,<4.17.21
systeminformation,<4.34.11
systeminformation,<4.34.10
get-ip-range,<4.0.0
ua-parser-js,<0.7.24
next-auth,<3.3.0
ftp-srv,<4.4.0
samba-client,<4.0.0
is-user-valid,*
@angular/core,<11.0.5
spritesheet-js,*
apexcharts,<3.24.0
macfromip,*
node-ps,*
sanitize-html,<2.3.1
set-or-get,>=1.0.0 <1.2.11
gitlog,>=3.3.0 <4.0.4
marked,>=1.1.2 <2.0.0
dynamoose,>=2.0.0 <2.7.0
sanitize-html,<2.3.2
slashify,*
highcharts,<9.0.0
merge-deep,<3.0.3
decal,*
decal,*
jquerry,*
http-proxy-middelware,*
ngx-markdown-editor,<3.3.0
electron,<9.4.2
electron,<9.4.2
uap-core,<0.11.0
dotty,<0.1.1
electron,<9.4.2
tui-editor,*
elliptic,<6.5.4
freediskspace,*
thinkjs,*
angular-expressions,<1.1.2
vue-devtools,*
launchpad,*
kill-process-on-port,*
@ckeditor/ckeditor5-markdown-gfm,<25.0.0
nested-object-assign,<1.0.4
less-openui5,<0.10.0
iniparserjs,*
electron,<9.4.0
three,<0.125.0
ghost,<2.38.3
total.js,<3.4.7
total.js,<3.4.7
config-shield,<0.2.3
@openzeppelin/contracts,<3.4.0-rc.0
node-red-contrib-huemagic,*
node-red-dashboard,<2.26.2
ckeditor4-dev,<4.16.0
rsshub,<1.0.0-master.4db1c91
heroku-env,*
ffmpeg-sdk,*
gitblame,*
npm-help,*
xopen,*
sonar-wrapper,*
async-git,<1.13.2
ntesseract,<0.2.9
deferred-exec,*
npos-tesseract,*
electron,>=10.0.0-beta.1 <11.2.1
electron,>=10.0.0-beta.1 <11.2.1
electron,>=10.0.0-beta.1 <11.2.1
vis-timeline,<7.4.4
async-git,<1.13.1
node-latex-pdf,*
lycwed-spritesheetjs,*
monorepo-build,*
git-archive,*
s3-kilatstorage,*
curljs,*
get-npm-package-version,<1.0.7
an0n-chat-lib,*
discord-fix,*
sonatype,*
ejs,<3.1.6
@graphql-tools/git-loader,<6.2.6
jointjs,<3.3.0
jointjs,<3.3.0
fastify-csrf,<3.0.0
gsap,<3.6.0
immer,<8.0.1
jquery-validation,<1.19.3
arpping,<3.0.0
curling,*
imagickal,*
dy-server2,*
@aws-sdk/shared-ini-file-loader,<1.0.0-rc.9
aws-sdk,<2.814.0
properties-reader,<2.2.0
electron,<9.4.1
electron,<9.4.1
glob-parent,<5.1.2
node-sass,>=2.0.0
engine.io,<4.0.0
socket.io-parser,<3.3.2
buns,*
ts-process-promises,*
socket.io,<2.4.0
typescript-tslint-plugin,<1.0.0
tinymce,<5.6.0
image-tiler,<2.0.2
@scullyio/scully,<1.0.9
google-cloudstorage-commands,*
asciitable.js,<1.0.3
djv,<2.1.4
vega,<5.17.3
urijs,<1.19.4
libnested,*
flattenizer,>=0.0.5 <1.1.1
set-object-value,<0.0.6
predefine,*
dset,>=1.0.0 <2.1.0
shvl,>=1.0.0 <2.0.2
deep-set,>=1.0.0
getobject,<1.0.0
ion-parser,*
js-ini,<1.3.0
inireader,<2.0.0
parse-server,>=3.10.0 <4.5.0
node-ini,*
semver-regex,<3.1.2
date-and-time,<0.14.2
doiuse,<4.4.0
vega,<5.17.1
multi-ini,<2.1.1
nodebb-plugin-blog-comments,<0.7.0
multi-ini,<2.1.2
@sdscoep/web-review,*
ng-zorro-antd,<11.0.0
datatables.net,<1.10.23
connection-tester,<0.2.1
electron,<9.4.1
markdown-it-decorate,*
frappe-charts,<1.5.5
markdown-it-toc,*
jiff,*
props,*
js-data,<3.0.10
systeminformation,<4.31.1
conf-cfg-ini,<1.2.2
mout,*
ua-parser-js,<0.7.23
liveaddress,*
rxdb,<9.11.0
mquery,<3.2.3
electron,>=10.0.0-beta.1 <10.2.0
electron,<9.4.0
mavon-editor,<2.9.0
node-notifier,<5.4.5
corenlp-js-prefab,*
corenlp-js-interface,*
ini,<1.3.6
deepref,<1.2.1
fast-csv,<4.3.6
@fast-csv/parse,<4.3.6
react-adal,<0.5.1
ckeditor4-dev,<4.15.1
highlight.js,>=9.0.0 <10.4.1
html-purify,*
keyget,<2.3.0
set-in,<2.0.1
cordova-plugin-camera,<5.0.0
electron,>=10.0.0-beta.1 <10.1.6
markdown-it-texmath,<0.9.0
netlify-cms-widget-markdown,<2.12.9
systeminformation,<4.30.5
ts-dot-prop,<1.4.1
last-commit-log,*
systeminformation,<4.30.2
highlight.js,>=7.2.0 <9.18.2
private-ip,<2.0.0
jsen,*
libvips,*
djvalidator,*
semantic-release,<17.2.3
tui-editor,*
electron,<8.5.4
electron,<9.4.0
electron,<9.4.0
electron,<9.4.0
electron,<9.4.0
objnest,<5.1.0
expressjs-ip-control,<1.0.7
zenn-cli,<0.1.40
markdown-it-prism,<2.1.3
markdown-it-highlightjs,<3.3.1
controlled-merge,>=1.0.0 <1.3.0
merge,<2.1.0
doc-path,<2.3.0
handsontable,<8.2.0
object-hierarchy-access,>=0.2.0 <0.33.0
field,*
deephas,<1.0.7
nodemailer,<6.4.16
joplin,<1.4.2
@joplin/lib,<1.7.1
@joplin/renderer,<1.7.1
express-validators,*
grpc,<1.24.4
@grpc/grpc-js,<1.1.8
@strikeentco/set,<1.0.1
node-downloader-helper,<1.0.15
jdb.js,*
ac-addon,*
wsbd.js,*
db-json.js,*
db-json.js,*
xpc.js,*
json8-merge-patch,<1.0.3
discord.dll,*
json-ptr,<2.0.0
y18n,<3.2.2
@firebase/util,<0.3.4
find-my-way,<2.2.5
krb5,*
node-krb5,*
axios,<0.21.1
jsreport-chrome-pdf,<1.10.0
@absolunet/kafe,<3.2.10
phantom-html-to-pdf,<0.6.1
json8,<1.0.3
twilio-npm,*
dompurify,<2.2.2
codemirror,<5.58.2
strapi,<3.2.5
browserless-chrome,<1.43.0
droppy,*
gfc,*
xml-crypto,<2.0.0
systeminformation,<4.26.2
dat.gui,*
nested-property,<3.0.0
http-live-simulator,*
grapesjs,<0.17.25
create-git,<1.0.0-2
trim,<0.0.3
systeminformation,<4.27.11
jstoxml,<2.0.0
mountebank,<2.3.3
pathval,<1.1.1
locutus,<2.0.15
strapi-plugin-content-type-builder,<3.2.5
strapi-plugin-content-manager,<3.2.5
parse-server,<4.4.0
